      0.000000      0.214495      0.428990      0.643484      0.857979      1.072474      1.286969      1.501463      1.715958      1.930453      2.144948      2.359443      2.573937      2.788432      3.002927      3.217422      3.431916      3.646411      3.860906      4.075401      4.289896      4.504390      4.718885      4.933380      5.147875      5.362369      5.576864      5.791359      6.005854      6.220348  
      1.000000      1.000131      1.000756      1.000459      1.000533      1.000219      1.000047      1.000679      1.000679      1.000935      1.000383      1.000519      1.000831      1.000035      1.000053      1.000530      1.000671      1.000008      1.000383      1.000067      1.000417      1.000687      1.000589      1.000930      1.000846      1.000527      1.000092      1.000654      1.000416      1.000701  
      1.000371      1.000373      1.000378      1.000383      1.000391      1.000415      1.000462      1.000523      1.000582      1.000613      1.000600      1.000547      1.000474      1.000399      1.000341      1.000302      1.000279      1.000279      1.000304      1.000363      1.000455      1.000559      1.000642      1.000678      1.000664      1.000607      1.000533      1.000464      1.000412      1.000382  
      1.000476      1.000472      1.000468      1.000463      1.000459      1.000455      1.000450      1.000447      1.000445      1.000442      1.000439      1.000438      1.000437      1.000438      1.000440      1.000443      1.000448      1.000450      1.000454      1.000457      1.000460      1.000464      1.000468      1.000472      1.000478      1.000482      1.000485      1.000485      1.000483      1.000480  
      1.000483      1.000478      1.000472      1.000466      1.000459      1.000453      1.000447      1.000441      1.000437      1.000433      1.000432      1.000431      1.000432      1.000431      1.000433      1.000437      1.000441      1.000446      1.000451      1.000457      1.000463      1.000469      1.000475      1.000480      1.000485      1.000488      1.000490      1.000491      1.000489      1.000487  
      1.000497      1.000491      1.000483      1.000473      1.000463      1.000453      1.000444      1.000435      1.000428      1.000423      1.000420      1.000418      1.000419      1.000418      1.000420      1.000424      1.000431      1.000437      1.000444      1.000452      1.000461      1.000470      1.000479      1.000486      1.000494      1.000500      1.000504      1.000505      1.000503      1.000502  
      1.000521      1.000512      1.000500      1.000486      1.000470      1.000455      1.000440      1.000427      1.000415      1.000406      1.000401      1.000398      1.000399      1.000396      1.000398      1.000404      1.000414      1.000422      1.000432      1.000444      1.000457      1.000471      1.000483      1.000495      1.000508      1.000518      1.000525      1.000528      1.000528      1.000526  
      1.000537      1.000526      1.000512      1.000494      1.000475      1.000456      1.000438      1.000421      1.000406      1.000395      1.000388      1.000384      1.000385      1.000381      1.000383      1.000391      1.000403      1.000412      1.000424      1.000438      1.000454      1.000471      1.000486      1.000501      1.000517      1.000530      1.000539      1.000544      1.000544      1.000543  
      1.000556      1.000544      1.000526      1.000505      1.000481      1.000458      1.000435      1.000414      1.000395      1.000381      1.000373      1.000367      1.000367      1.000363      1.000365      1.000374      1.000389      1.000399      1.000414      1.000431      1.000450      1.000471      1.000490      1.000509      1.000529      1.000545      1.000557      1.000563      1.000564      1.000563  
      1.000585      1.000569      1.000548      1.000522      1.000493      1.000464      1.000434      1.000407      1.000383      1.000362      1.000349      1.000340      1.000339      1.000336      1.000339      1.000349      1.000365      1.000380      1.000400      1.000422      1.000446      1.000472      1.000497      1.000521      1.000544      1.000563      1.000578      1.000587      1.000590      1.000591  
      1.000669      1.000641      1.000606      1.000566      1.000523      1.000477      1.000432      1.000387      1.000345      1.000309      1.000276      1.000251      1.000233      1.000225      1.000231      1.000247      1.000272      1.000305      1.000345      1.000390      1.000438      1.000487      1.000534      1.000579      1.000618      1.000650      1.000674      1.000689      1.000694      1.000686  
